 Rank  Chip       Q N80  Dataset      Day QPDTStr  QPDTS2   QCETS
x    1 11342   1.000  16  PDTStry 20171201   1.000   0.999        
x    2 11780   0.998  16  PDTStry 20171206   0.998   0.994        
x    3 11755   0.994  16    PDTS2 20171205   0.991   0.994        
x    4 11733   0.990  16    PDTS2 20171203   0.988   0.990        
x    5 11803   0.990  16    PDTS2 20171207   0.984   0.990        
x    7 11637   0.986  16    PDTS2 20171122   0.982   0.986        
x    8 11691   0.983  16  PDTStry 20171201   0.983   0.982        
x    9 11800   0.981  16    PDTS2 20171207   0.977   0.981        
x   10 11610   0.981  16    PDTS2 20171117   0.980   0.981        
x   11 11816   0.980  16    PDTS2 20171207   0.965   0.980        
x   12 11814   0.974  16    PDTS2 20171207   0.966   0.974        
x   13 11611   0.974  16    PDTS2 20171119   0.970   0.974        
x   14 11612   0.973  16  PDTStry 20171117   0.973   0.969        
x   15 11842   0.973  16  PDTStry 20171209   0.973   0.966        
x   16 11738   0.973  16  PDTStry 20171204   0.973                
x   17 11836   0.973  16    PDTS2 20171209   0.970   0.973        
x   18 11707   0.973  16    PDTS2 20171202   0.970   0.973        
x   19 11697   0.970  16  PDTStry 20171201   0.970   0.969        
x   20 11812   0.969  16    PDTS2 20171207   0.964   0.969        
x   21 11759   0.968  16  PDTStry 20171205   0.968   0.626        
x   22 11711   0.968  16  PDTStry 20171201   0.968   0.966        
x   23 11808   0.965  16  PDTStry 20171207   0.965   0.961        
x   25 11615   0.964  16    PDTS2 20171117   0.958   0.964        
x   26 11306   0.963  16    PDTS2 20171129   0.961   0.963        
x   27 11822   0.962  16    PDTS2 20171208   0.958   0.962        
x   28 10395   0.960  16    PDTS2 20171121   0.957   0.960        
x   29 11705   0.957  16  PDTStry 20171201   0.957   0.887        
x   30 11748   0.953  16    PDTS2 20171205   0.946   0.953        
x   31 11650   0.949  16  PDTStry 20171127   0.949   0.940        
x   32 11495   0.949  16    PDTS2 20171121   0.945   0.949        
x   33 11643   0.946  16  PDTStry 20171122   0.946   0.943        
x   34 11770   0.941  16  PDTStry 20171206   0.941   0.934        
x   35 11651   0.940  16  PDTStry 20171127   0.940   0.933        
x   36 11811   0.939  16  PDTStry 20171207   0.939   0.930        
x   37 11690   0.936  16    PDTS2 20171130   0.932   0.936        
x   38 11609   0.936  16    PDTS2 20171117   0.931   0.936        
x   39 11777   0.927  16  PDTStry 20171206   0.927   0.926        
x   40 11341   0.918  16    PDTS2 20171129   0.907   0.918        
x   41 11616   0.917  16    PDTS2 20171117   0.916   0.917        
x   42 11728   0.916  16  PDTStry 20171203   0.916   0.915        
x   43 11773   0.916  16    PDTS2 20171206   0.913   0.916        
x   44 10689   0.913  16    PDTS2 20171119   0.909   0.913        
x   45 11692   0.912  16  PDTStry 20171130   0.912   0.906        
x   46 11752   0.912  16    PDTS2 20171205   0.910   0.912        
x   47 11714   0.910  16    PDTS2 20171201   0.908   0.910        
x   48 11744   0.907  16  PDTStry 20171204   0.907   0.903        
x   49 11454   0.905  16    PDTS2 20171121   0.903   0.905        
x   50 11641   0.897  16  PDTStry 20171122   0.897   0.892        
x   51 11608   0.896  16  PDTStry 20171117   0.896   0.895        
x   52 11802   0.891  16    PDTS2 20171207   0.881   0.891        
x   53 11778   0.887  16    PDTS2 20171206   0.871   0.887        
x   54 11757   0.886  16    PDTS2 20171205   0.881   0.886        
x   55 11245   0.881  16    PDTS2 20171119   0.868   0.881        
x   57 11775   0.873  16  PDTStry 20171206   0.873   0.861        
x   58 11793   0.872  16    PDTS2 20171206   0.871   0.872        
x   59 11699   0.869  16    PDTS2 20171201   0.862   0.869        
x   60 11642   0.867  16    PDTS2 20171122   0.866   0.867        
x   61 11701   0.865  16  PDTStry 20171201   0.865   0.861        
x   62 11820   0.863  16  PDTStry 20171208   0.863   0.801        
x   63 11739   0.858  16  PDTStry 20171204   0.858                
x   64 11807   0.855  16    PDTS2 20171207   0.849   0.855        
